unit,trip_id,toll_loc_id_start,toll_loc_id_end,toll_loc_name_start,toll_loc_name_end,toll_system_type,entry_time,exit_time,tag_cost,cash_cost,license_plate_cost
kumavatnisha20@gmail.com,1000_2,130003200,130000000,247 - Harrisburg East,30 - Warrendale,ticketSystem1,2023-12-10T14:36:40Z,2023-12-10T14:36:40Z,108.9,,220
kumavatnisha20@gmail.com,1000_2,128006000,128004200,239 - Eastgate,180 - Akron,ticketSystem1,2023-12-10T14:36:40Z,2023-12-10T14:36:40Z,11.5,14.5,
kumavatnisha20@gmail.com,1000_2,130003200,130000000,247 - Harrisburg East,30 - Warrendale,ticketSystem1,2023-12-10T14:36:40Z,2023-12-10T14:36:40Z,108.9,,220
kumavatnisha20@gmail.com,1000_3,130001000,130006000,75 - New Stanton,353 - Neshaminy Falls,ticketSystem1,2023-12-10T14:36:40Z,2023-12-10T14:36:40Z,143.1,,288.8
kumavatnisha20@gmail.com,1000_3,126001000,126001400,6 - PA Turnpike/Florence,7 - Bordentown/Trenton,ticketSystem1,2023-12-10T14:36:40Z,2023-12-10T14:36:40Z,8.39,9.25,
kumavatnisha20@gmail.com,1000_3,126001600,126002400,7A - I-195/Trenton/Shore Points,10 - I-287/Metuchen/Edison Twsp,ticketSystem1,2023-12-10T14:36:40Z,2023-12-10T14:36:40Z,11.2,12.15,
kumavatnisha20@gmail.com,1000_4,124004000,124003000,217 Eastern Terminal,182 Topeka: K-4 183 Topeka: I-70,ticketSystem1,2023-12-10T14:36:35Z,2023-12-10T14:36:35Z,6.9,9,
kumavatnisha20@gmail.com,1000_4,124003000,124003201,182 Topeka: K-4 183 Topeka: I-70,"197 Lecompton, Lawrence: K-10",ticketSystem1,2023-12-10T14:36:35Z,2023-12-10T14:36:35Z,2.75,3.75,
kumavatnisha20@gmail.com,1000_4,124003200,124003000,"197 Lecompton, Lawrence: K-10",182 Topeka: K-4 183 Topeka: I-70,ticketSystem1,2023-12-10T14:36:35Z,2023-12-10T14:36:35Z,2.75,3.75,
kumavatnisha20@gmail.com,1000_4,124003000,124003201,182 Topeka: K-4 183 Topeka: I-70,"197 Lecompton, Lawrence: K-10",ticketSystem1,2023-12-10T14:36:35Z,2023-12-10T14:36:35Z,2.75,3.75,
kumavatnisha20@gmail.com,1000_4,124003200,124003000,"197 Lecompton, Lawrence: K-10",182 Topeka: K-4 183 Topeka: I-70,ticketSystem1,2023-12-10T14:36:35Z,2023-12-10T14:36:35Z,2.75,3.75,
kumavatnisha20@gmail.com,2000_6,127004600,127004000,31 - Utica,29 - Canajoharie,ticketSystem1,2023-12-10T14:36:31Z,2023-12-10T14:36:31Z,8.8,,11.44
kumavatnisha20@gmail.com,2000_6,127004000,127004200,29 - Canajoharie,29A - Little Falls,ticketSystem1,2023-12-10T14:36:31Z,2023-12-10T14:36:31Z,3.75,,4.88
kumavatnisha20@gmail.com,2000_6,127004200,127003800,29A - Little Falls,28 - Fultonville,ticketSystem1,2023-12-10T14:36:31Z,2023-12-10T14:36:31Z,6.46,,8.4
kumavatnisha20@gmail.com,2000_7,126002800,126003200,12 - Carteret/Rahway,13A - Newark Aprt/Elizabeth Seaport,ticketSystem1,2023-12-10T14:36:31Z,2023-12-10T14:36:31Z,3.77,4.05,
kumavatnisha20@gmail.com,2000_7,126004200,126005000,15E - Newark/Jersey City,16W - Sprtsplx/NJ 3/Secaucus/Ruthrfrd,ticketSystem1,2023-12-10T14:36:31Z,2023-12-10T14:36:31Z,7.65,8.2,
kumavatnisha20@gmail.com,2000_7,127000000,127000400,15 - Woodbury Toll,17 - Newburgh I-84,ticketSystem1,2023-12-10T14:36:31Z,2023-12-10T14:36:31Z,6.74,,8.76
kumavatnisha20@gmail.com,2000_8,126000200,126003200,2 - Swedesboro/Chester,13A - Newark Aprt/Elizabeth Seaport,ticketSystem1,2023-12-10T14:36:31Z,2023-12-10T14:36:31Z,41.86,45.7,
kumavatnisha20@gmail.com,2000_8,127000000,127002400,15 - Woodbury Toll,23 - Albany (Downtown),ticketSystem1,2023-12-10T14:36:31Z,2023-12-10T14:36:31Z,25.32,,32.91
kumavatnisha20@gmail.com,2000_8,127002600,127003000,23 - Albany (Downtown),25 - Schenectady E.,ticketSystem2,2023-12-10T14:36:31Z,2023-12-10T14:36:31Z,3.83,,4.99
kumavatnisha20@gmail.com,2000_8,127003200,127003800,25A - Schenectady I-88,28 - Fultonville,ticketSystem1,2023-12-10T14:36:31Z,2023-12-10T14:36:31Z,5.3,,6.89
kumavatnisha20@gmail.com,2000_9,127000402,127000000,17 - Newburgh I-84,15 - Woodbury Toll,ticketSystem1,2023-12-10T14:36:31Z,2023-12-10T14:36:31Z,6.74,,8.76
kumavatnisha20@gmail.com,2000_9,126005400,126002800,18W - Geo Washington Br/US 46/I-80,12 - Carteret/Rahway,ticketSystem1,2023-12-10T14:36:31Z,2023-12-10T14:36:31Z,28.6,31.3,
